StationId,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,StationName,CountyName,Lon,Lat
C0M850,2022/10/30 19:20,695.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,表湖,嘉義縣,120.641658,23.241856
O1V540,2022/10/30 19:20,565.9,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,高中(2),高雄市,120.703273,23.110591
O1D570,2022/10/30 19:20,84.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新城國小,新竹縣,120.967392,24.73339
C0I360,2022/10/30 19:20,300.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,水里,南投縣,120.849792,23.812553
81V830,2022/10/30 19:20,567.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,那瑪夏國中,高雄市,120.696717,23.240423
C0G920,2022/10/30 19:20,42.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,永靖,彰化縣,120.547533,23.924703
C1E670,2022/10/30 19:20,1209.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,南礦,苗栗縣,121.002836,24.538278
C0D540,2022/10/30 19:20,227.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,橫山,新竹縣,121.116933,24.711158
01K060,2022/10/30 19:20,13.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,褒忠(2),雲林縣,120.311047,23.701086
01N860,2022/10/30 19:20,100.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,崎頂,臺南市,120.359823,22.964938
01Q930,2022/10/30 19:20,150.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,三地門,屏東縣,120.649251,22.708369
81M020,2022/10/30 19:20,828.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,豐山,嘉義縣,120.744799,23.590386
01D300,2022/10/30 19:20,146.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,關西(3),新竹縣,121.180437,24.780225
C1F871,2022/10/30 19:20,1000.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,上谷關,臺中市,121.018644,24.203483
K2F750,2022/10/30 19:20,470.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,種苗繁殖,臺中市,120.800917,24.225972
